품목조회(Biofdnc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품목상태,등록일,등록자,최종수정일,최종수정자,관리부서,품목대분류,품목중분류,품목소분류,Lot 관리,품목자산분류,품번,품명,규격,영문명,품목설명,기준단위,품목세부분류,검색어(이명(異名)),사양,품목특이사항,CAS NO,MOQ,포장단위,Manufacturer,Country of Manufacture,Source of Origin(Method),Plant Part,Country of Origin,중국원료신고번호(NMPA),알러젠성분,Furocoumarines,효능,특허,논문,임상,사용기한,보관위치,보관방법1,안정성 및 유의사항1,Note on storage1,Safety & Handling1,NOTICE (COA3 영문)1,NOTICE (COA3 국문)1,NOTICE (Composition 국문)1,NOTICE (Composition 영문)1,CAUTION (Origin)1,유기농 인증,KOSHER 인증,HALAL 인증,VEGAN 인증,ISAAA 인증,RSPO 인증,REACH 인증,Expiration Date,보관방법2,안정성 및 유의사항2,Note on storage2,Safety & Handling2,NOTICE (COA3 영문)2,NOTICE (COA3 국문)2,NOTICE (Composition 국문)2,NOTICE (Composition 영문)2,CAUTION (Origin)2
사용,2023-03-29,이충환,2023-07-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00010,QT Cell SKIN RENEWAL BOOSTER hDF-CM,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00011,비더뮤즈-뮤스템랩바이오미메스틱시그니처앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00012,비더뮤즈-마벨르뮤즈살몬리턴앰플(1제),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00013,비더뮤즈-마벨르뮤즈살몬리턴앰플(2제),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00014,어바웃민-어메이징스토리 앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-10-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00015,Siyanli AquaNourishing Serum,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-10-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00016,Siyanli Calm Serum,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00017,QTCell SS Serum Solution,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00018,어나더릴리프헝가리안글로잉무드335앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2025-02-12,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00019,올리셀섬유아세포배양액부스팅앰플_5 ml,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00020,더시그니처키토에델바이스줄기세포앰플,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-06-28,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00021,DR Bio Calm Serum_Bulk,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00022,플랜톨로지페이셜세럼,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00023,INCUV스템톡스페이스(set),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00024,포피라334앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-12-12,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00025,QT CELL SS Black Label(사용안함),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-04-04,정지나,2025-05-30,이충환,인천)제형제조팀(연구),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00026,비더뮤즈- TIME DROP BODY THE S (셀룰라이트 케어 앰플 - C Type (ADSC-CM 5 %))_5 ml,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-06-28,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00027,DR Bio AquaNourishing Serum_Bulk,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-07-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00028,웰펩-포포유캄앤에너지케어앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00029,더시그니처-키톡스토탈케어앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00030,더시그니처-키톡스패션플라워앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00031,더시그니처-시그니처화이트고농축보습앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00032,INCUV스템톡스페이스-미품,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00033,플랜톨로지앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2025-04-02,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00034,"에스테팜-큐티셀스킨부스터(배양액100배희석, 50%) - 3.3 ml",,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00035,올리셀섬유아세포배양액부스팅앰플(Bulk),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00036,에끌라 펩타이드 앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00037,더시그니처-키톡스브라이트닝앰플시그니처실버(=키톡스패션플라워앰플),,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00038,클루덤슈링크부스터앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2025-04-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00039,세라비앤에이치-메디코이바이오액티브바이탈샷앰플(8개입),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2025-04-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00040,세라비앤에이치-메디코이바이오액티브바이탈샷앰플(1개입),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-11-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00041,노션즈-로로쥬디임팩트샷로즈풀앰플(본품),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-11-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00042,노션즈-로로쥬디임팩트샷로즈풀앰플(증정품),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-07-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00043,날마다 바다젤리 앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00044,리제닌부스터,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00045,더시그니처-키토 에델바이스 줄기세포 앰플 - STEP 2 - 화이트,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-11-01,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00046,오로타다파마MTS앰플,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-07-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00047,Dr. A'Gen GF Ampoule(50ml),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2025-02-12,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00048,올리셀섬유아세포배양액부스팅앰플-알병_5 ml,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-04-16,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00049,비더뮤즈-줄기세포 앰플(일본용 B-Type) Flamingo's Drop,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-05-12,최예은,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00050,DR Bio Whitening Ampoule - Bulk,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-05-12,김재영,2023-11-22,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00051,동국제약 - 인에이블 스킨 부스터,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-11-01,이충환,2023-11-01,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00052,모스레시피 액티브 컨트롤 스킨부스터(5 ml * 5 ea),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-12-01,김재영,2025-01-23,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00053,M Pure Cell (MPC)_3 ml * 10개,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-11-01,이충환,2023-12-06,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00054,모스레시피 헤어 스칼프 컨센트레이티드 앰플(5 ml * 12 ea),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-12-26,이승준,2023-12-26,이승준,인천)물류팀,[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00055,DERMAVAX White&Bright Solution ampoule,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-04-18,김재영,2024-04-19,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00056,바르즈(BAR-Z)-PLELABO Ampoule,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-05-22,김재영,2025-04-02,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00057,"에스테팜-큐티셀 K 스킨부스터 - 리뉴얼(배양액 100배 희석, 50 %)_3.3 ml_라벨 부착",,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-06-05,이충환,2024-06-05,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00058,Siyanli Calm Serum-충포장(조이산업),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-09-11,김재영,2025-02-12,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00059,지수씨 키라 60도 씨-타이드 세럼_45 ml,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-09-11,김재영,2024-09-11,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00060,더플러리 - s4S ROLLER,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-10-07,김재영,2024-10-07,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00061,앙리엣 딥 씨 세피라샷,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2024-11-07,김재영,2024-11-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00062,조이앤코퍼레이션 - 로로쥬디 임펙트샷 로즈풀 앰플 - Bulk,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-03-12,김재영,2025-03-13,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00063,에이엠메딕스-쥬란트 프로패셔널 PS (5 ml * 5 개입),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-03-12,김재영,2025-03-13,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00064,에이엠메딕스-쥬란트 에센셜 ES (5 ml * 5 개입),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-04-01,김재영,2025-04-01,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00065,키톡스 코어 530 시그니처 앰플 - Bulk,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-06-24,김재영,2025-06-24,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00066,에스테팜 큐티셀 블랙라벨 - 10 ml (알병납품),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-07-14,김재영,2025-07-14,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00067,Dr. A'Gen GF Ampoule(20ml),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2025-07-14,김재영,2025-07-14,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00068,Dr. A'Gen Stem&Repair P. Booster(20ml),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]크림류(C),1,제품,CBC00001,CELL Talks PS-3.4 Cream,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]크림류(C),1,제품,CBC00002,CELL Talks PS-5 Repair Cream,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-09-11,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]크림류(C),0,제품,CBC00003,Dr. A'Gen Microneedles Cream(10%)(1ml),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-04-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]크림류(C),1,제품,CBC00004,러시아 VIANAMMA Neokletox-리뉴얼크림,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
